VIGENCIA,COD_ESTADO_DEPTO,ESTADO_DEPTO,PER_OCU,PER_DECLA,EVENTOS
1998,0,SIN DEFINIR,1728,482,1741
1998,5,Antioquia,103435,16120,111220
1998,8,Atlantico,532,4415,566
1998,11,"Bogota, D.C.",590,5641,662
1998,13,Bolivar,57351,6921,61295
1998,15,Boyaca,1444,24,1667
1998,17,Caldas,2510,16,2788
1998,18,Caqueta,6931,142,7710
1998,19,Cauca,3818,19,4244
1998,20,Cesar,15215,2609,16612
1998,23,Cordoba,13704,6834,14718
1998,25,Cundinamarca,4564,373,5123
1998,27,Choco,12906,1473,14097
1998,41,Huila,2245,1390,2503
1998,44,La Guajira,3245,504,3754
1998,47,Magdalena,16578,480,18630
1998,50,Meta,10460,2965,11515
1998,52,Nariï¿½o,2242,126,2515
1998,54,Norte De Santander,6957,1760,7535
1998,63,Quindio,307,34,358
1998,66,Risaralda,2487,379,2945
1998,68,Santander,11977,8208,13135
1998,70,Sucre,12470,594,13060
1998,73,Tolima,5393,1665,6068
1998,76,Valle del Cauca,4722,114,5287
1998,81,Arauca,3049,13,3303
1998,85,Casanare,3426,69,4102
1998,86,Putumayo,4025,47,4429
1998,88,"Archip.De San Andres, Providencia y Santa Catalina",14,0,14
1998,91,Amazonas,48,1,54
1998,94,Guainia,116,27,121
1998,95,Guaviare,2847,35,3254
1998,97,Vaupes,4174,5,5708
1998,99,Vichada,574,13,639
1999,0,SIN DEFINIR,3350,463,3361
1999,5,Antioquia,84633,10111,91346
1999,8,Atlantico,752,2234,828
1999,11,"Bogota, D.C.",808,3878,907
1999,13,Bolivar,57311,3077,62375
1999,15,Boyaca,2347,35,2731
1999,17,Caldas,4037,62,4620
1999,18,Caqueta,10200,4291,11062
1999,19,Cauca,5230,84,5839
1999,20,Cesar,16877,1362,18489
1999,23,Cordoba,23244,3389,25122
1999,25,Cundinamarca,4699,419,5341
1999,27,Choco,12576,624,13582
1999,41,Huila,2604,1571,2901
1999,44,La Guajira,3754,396,4117
1999,47,Magdalena,32248,3357,36019
1999,50,Meta,11922,3411,13293
