id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20020005,1,GARZON,,LUIS EDUARDO,29215,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,42148,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20020006,3,BEDOYA,PIZARRO,HAROLD,1561,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20020001,4,URIBE,VELEZ,ALVARO,387510,1
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,19940007,5,TOVAR,GARCES,FRANCISCO ANTONIO,312,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,19980014,6,CARDONA,MORENO,GUILLERMO ANTONIO,163,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,19980015,7,LORA,RAMIREZ,AUGUSTO GUILLERMO,231,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,18480001,8,SERPA,URIBE,HORACIO,56178,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20000203,9,CRISTANCHO,TOSCANO,ALVARO,303,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,19980003,10,BETANCOURT,PULECIO,INGRID,2467,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20000203,11,RINCON,SOSA,RODOLFO,312,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,997,TARJETAS NO MARCADAS,,,1545,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,6103,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,9986,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20020005,1,GARZON,,LUIS EDUARDO,155,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,408,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20020006,3,BEDOYA,PIZARRO,HAROLD,19,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20020001,4,URIBE,VELEZ,ALVARO,2724,1
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,19940007,5,TOVAR,GARCES,FRANCISCO ANTONIO,20,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,19980014,6,CARDONA,MORENO,GUILLERMO ANTONIO,6,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,19980015,7,LORA,RAMIREZ,AUGUSTO GUILLERMO,7,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,18480001,8,SERPA,URIBE,HORACIO,1100,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20000203,9,CRISTANCHO,TOSCANO,ALVARO,7,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,19980003,10,BETANCOURT,PULECIO,INGRID,22,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20000203,11,RINCON,SOSA,RODOLFO,2,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,997,TARJETAS NO MARCADAS,,,58,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,78,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,72,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20020005,1,GARZON,,LUIS EDUARDO,21,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,158,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20020006,3,BEDOYA,PIZARRO,HAROLD,3,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20020001,4,URIBE,VELEZ,ALVARO,382,1
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,19940007,5,TOVAR,GARCES,FRANCISCO ANTONIO,7,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,19980014,6,CARDONA,MORENO,GUILLERMO ANTONIO,5,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,18480001,8,SERPA,URIBE,HORACIO,76,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,19980003,10,BETANCOURT,PULECIO,INGRID,3,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,997,TARJETAS NO MARCADAS,,,18,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,16,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,4,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020005,1,GARZON,,LUIS EDUARDO,41,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,251,0
