id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,177319,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,441528,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,997,TARJETAS NO MARCADAS,,,1316,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,11428,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,31147,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,313,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,5876,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,997,TARJETAS NO MARCADAS,,,30,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,47,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,100,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,71,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,727,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,997,TARJETAS NO MARCADAS,,,8,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,13,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,19,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,169,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,1570,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,997,TARJETAS NO MARCADAS,,,5,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,998,VOTOS NULOS,,,19,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,999,VOTOS EN BLANCO,,,43,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5030,AMAGA,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,1543,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5030,AMAGA,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,5828,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5030,AMAGA,Nacional,,997,TARJETAS NO MARCADAS,,,45,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5030,AMAGA,Nacional,,998,VOTOS NULOS,,,141,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5030,AMAGA,Nacional,,999,VOTOS EN BLANCO,,,280,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5031,AMALFI,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,571,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5031,AMALFI,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,2959,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5031,AMALFI,Nacional,,997,TARJETAS NO MARCADAS,,,20,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5031,AMALFI,Nacional,,998,VOTOS NULOS,,,77,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5031,AMALFI,Nacional,,999,VOTOS EN BLANCO,,,166,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5034,ANDES,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,1454,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5034,ANDES,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,12051,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5034,ANDES,Nacional,,997,TARJETAS NO MARCADAS,,,47,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5034,ANDES,Nacional,,998,VOTOS NULOS,,,111,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5034,ANDES,Nacional,,999,VOTOS EN BLANCO,,,275,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5036,ANGELOPOLIS,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,291,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5036,ANGELOPOLIS,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,1492,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5036,ANGELOPOLIS,Nacional,,997,TARJETAS NO MARCADAS,,,15,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5036,ANGELOPOLIS,Nacional,,998,VOTOS NULOS,,,40,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5036,ANGELOPOLIS,Nacional,,999,VOTOS EN BLANCO,,,70,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5038,ANGOSTURA,Nacional,20090002,1,MOCKUS,SIVICKAS,AURELIJUS RUTENIS ANTANAS,293,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5038,ANGOSTURA,Nacional,20050002,2,SANTOS,CALDERON,JUAN MANUEL,2093,1
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5038,ANGOSTURA,Nacional,,997,TARJETAS NO MARCADAS,,,36,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5038,ANGOSTURA,Nacional,,998,VOTOS NULOS,,,64,0
120100000,2010,Presidencia,Junio 20,5,ANTIOQUIA,5038,ANGOSTURA,Nacional,,999,VOTOS EN BLANCO,,,120,0
