id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20050002,1,SANTOS,CALDERON,JUAN MANUEL,208540,1
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20130001,2,ZULUAGA,ESCOBAR,OSCAR IVAN,448368,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,997,TARJETAS NO MARCADAS,,,1503,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,27384,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,53449,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20050002,1,SANTOS,CALDERON,JUAN MANUEL,1262,1
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20130001,2,ZULUAGA,ESCOBAR,OSCAR IVAN,5300,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,997,TARJETAS NO MARCADAS,,,53,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,132,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,186,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20050002,1,SANTOS,CALDERON,JUAN MANUEL,308,1
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20130001,2,ZULUAGA,ESCOBAR,OSCAR IVAN,514,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,997,TARJETAS NO MARCADAS,,,6,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,17,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,30,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20050002,1,SANTOS,CALDERON,JUAN MANUEL,1120,1
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20130001,2,ZULUAGA,ESCOBAR,OSCAR IVAN,959,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,997,TARJETAS NO MARCADAS,,,17,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,998,VOTOS NULOS,,,26,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,999,VOTOS EN BLANCO,,,84,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5030,AMAGA,Nacional,20050002,1,SANTOS,CALDERON,JUAN MANUEL,3496,1
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5030,AMAGA,Nacional,20130001,2,ZULUAGA,ESCOBAR,OSCAR IVAN,4704,0
120140002,2014,Presidencia,Junio 15,5,ANTIOQUIA,5030,AMAGA,Nacional,,997,TARJETAS NO MARCADAS,,,46,0
