id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180003,1,PETRO,URREGO,GUSTAVO FRANCISCO,77067,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180004,2,,,PROMOTORES VOTO EN BLANCO,1847,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20130001,3,DUQUE,MARQUEZ,IVAN,535239,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180002,4,DE LA CALLE,LOMBANA,HUMBERTO,25896,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20170002,5,TRUJILLO,SARMIENTO,JORGE ANTONIO,2197,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180001,6,FAJARDO,VALDERRAMA,SERGIO,310430,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180005,7,MORALES,HOYOS,VIVIANE ALEIDA,1296,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,20180006,8,VARGAS,LLERAS,GERMAN,24133,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,997,TARJETAS NO MARCADAS,,,1419,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,10004,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,20350,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180003,1,PETRO,URREGO,GUSTAVO FRANCISCO,184,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180004,2,,,PROMOTORES VOTO EN BLANCO,11,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20130001,3,DUQUE,MARQUEZ,IVAN,4580,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180002,4,DE LA CALLE,LOMBANA,HUMBERTO,73,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20170002,5,TRUJILLO,SARMIENTO,JORGE ANTONIO,15,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180001,6,FAJARDO,VALDERRAMA,SERGIO,1097,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180005,7,MORALES,HOYOS,VIVIANE ALEIDA,24,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,20180006,8,VARGAS,LLERAS,GERMAN,347,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,997,TARJETAS NO MARCADAS,,,85,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,89,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,77,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20180003,1,PETRO,URREGO,GUSTAVO FRANCISCO,11,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20180004,2,,,PROMOTORES VOTO EN BLANCO,1,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20130001,3,DUQUE,MARQUEZ,IVAN,828,1
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20180002,4,DE LA CALLE,LOMBANA,HUMBERTO,15,0
120180001,2018,Presidencia,Mayo 27,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,20170002,5,TRUJILLO,SARMIENTO,JORGE ANTONIO,2,0
